priority,pdf_page,printed_page,block_id,block_type,reasons,issues,evidence_ids,short_chunk_ids,title_path,text,page_image,review_status,corrected_text,corrected_title_path,review_note
P0,111,103,DOC004_P111_B025,code,ocr_or_structure_issue|used_by_reviewed_evidence,low_confidence,EDEV001,,第2章 车削加工编程 > 2.4 > 2.4.1 外圆柱切削循环G90,G90 X(U)Z（W)_F,E:\big\cnc-voice-rag-platform\data\parsed\DOC004\rendered\page_111.png,pending,,,
P0,112,104,DOC004_P112_B003,paragraph,short_structural_chunk|used_by_reviewed_evidence,,EDEV001,DOC004_STRUCTURAL_T512_V02_C0003,第2章 车削加工编程 > 2.4 数控车削循环指令 > 2.4.1 外圆柱切削循环G90,面切削终点相对于循环起点的增量值（相对坐标值），F为进给量。,E:\big\cnc-voice-rag-platform\data\parsed\DOC004\rendered\page_112.png,pending,,,
P0,112,104,DOC004_P112_B005,paragraph,ocr_or_structure_issue|used_by_reviewed_evidence,low_confidence,EDEV011,,第2章 车削加工编程 > 2.4 数控车削循环指令 > 2.4.1 外圆柱切削循环G90,外圆柱面切削循环指令刀具轨迹如图2-66所示。刀具0A从循环起点A开始按矩形循退刀量↑C$B环，最后回到循环起点。,E:\big\cnc-voice-rag-platform\data\parsed\DOC004\rendered\page_112.png,pending,,,
P0,112,104,DOC004_P112_B011,caption,ocr_or_structure_issue|used_by_reviewed_evidence,table_layout_requires_review,EDEV011,,第2章 车削加工编程 > 2.4 数控车削循环指令 > 2.4.1 外圆柱切削循环G90,表2-27外圆柱面切削循环刀具轨迹对应关系,E:\big\cnc-voice-rag-platform\data\parsed\DOC004\rendered\page_112.png,pending,,,
P0,112,104,DOC004_P112_B012,paragraph,ocr_or_structure_issue|used_by_reviewed_evidence,inside_table_candidate,EDEV011,,第2章 车削加工编程 > 2.4 数控车削循环指令 > 2.4.1 外圆柱切削循环G90,刀具轨迹四步循环刀位点逐段编程加工采用G指令循环加工采用G指令A→B进刀切削起点B,E:\big\cnc-voice-rag-platform\data\parsed\DOC004\rendered\page_112.png,pending,,,
P0,112,104,DOC004_P112_B013,code,ocr_or_structure_issue|used_by_reviewed_evidence,low_confidence|inside_table_candidate,EDEV011,,第2章 车削加工编程 > 2.4 数控车削循环指令 > 2.4.1 外圆柱切削循环G90,G00,E:\big\cnc-voice-rag-platform\data\parsed\DOC004\rendered\page_112.png,pending,,,
P0,112,104,DOC004_P112_B014,paragraph,ocr_or_structure_issue|used_by_reviewed_evidence,inside_table_candidate|low_confidence,EDEV011,,第2章 车削加工编程 > 2.4 数控车削循环指令 > 2.4.1 外圆柱切削循环G90,B→C切削切削终点C,E:\big\cnc-voice-rag-platform\data\parsed\DOC004\rendered\page_112.png,pending,,,
P0,112,104,DOC004_P112_B015,code,ocr_or_structure_issue|used_by_reviewed_evidence,inside_table_candidate,EDEV011,,第2章 车削加工编程 > 2.4 数控车削循环指令 > 2.4.1 外圆柱切削循环G90,G01,E:\big\cnc-voice-rag-platform\data\parsed\DOC004\rendered\page_112.png,pending,,,
P0,112,104,DOC004_P112_B016,code,ocr_or_structure_issue|used_by_reviewed_evidence,inside_table_candidate,EDEV011,,第2章 车削加工编程 > 2.4 数控车削循环指令 > 2.4.1 外圆柱切削循环G90,G90,E:\big\cnc-voice-rag-platform\data\parsed\DOC004\rendered\page_112.png,pending,,,
P0,112,104,DOC004_P112_B017,paragraph,ocr_or_structure_issue|used_by_reviewed_evidence,inside_table_candidate,EDEV011,,第2章 车削加工编程 > 2.4 数控车削循环指令 > 2.4.1 外圆柱切削循环G90,C→D退刀退刀点D,E:\big\cnc-voice-rag-platform\data\parsed\DOC004\rendered\page_112.png,pending,,,
P0,112,104,DOC004_P112_B018,code,ocr_or_structure_issue|used_by_reviewed_evidence,inside_table_candidate,EDEV011,,第2章 车削加工编程 > 2.4 数控车削循环指令 > 2.4.1 外圆柱切削循环G90,G01,E:\big\cnc-voice-rag-platform\data\parsed\DOC004\rendered\page_112.png,pending,,,
