priority,block_id,pdf_page,printed_page,block_type,issues,text,review_status,corrected_text,review_note
1,DOC004_P111_B001,111,103,header_footer,possible_ocr_confusion|header_chapter_number_missing,第章车削加工编程103,pending,,
1,DOC004_P112_B011,112,104,caption,table_layout_requires_review,表2-27外圆柱面切削循环刀具轨迹对应关系,pending,,
1,DOC004_P113_B001,113,105,header_footer,possible_ocr_confusion|header_chapter_number_missing,第章车削加工编程 105,pending,,
1,DOC004_P113_B003,113,105,caption,table_layout_requires_review,表2-28加工程序,pending,,
1,DOC004_P113_B015,113,105,caption,table_layout_requires_review,表2-29总加工余量、背吃刀量及主要加工尺寸,pending,,
1,DOC004_P113_B017,113,105,caption,table_layout_requires_review,表2-30加工程序,pending,,
1,DOC004_P114_B011,114,106,paragraph,possible_ocr_confusion,R值为锥体大小端的半径差（非直径值），且右端面按延伸后的切削起点的值进考虑，如图2-69（a）所示。当锥面起点坐标大于终点坐标时，如图2-69（b）所示R取正值，反之如图2-69（c）所示则取负值（图中f表示进给方向）。,pending,,
1,DOC004_P115_B001,115,107,header_footer,possible_ocr_confusion|header_chapter_number_missing,第章车削加工编程107,pending,,
1,DOC004_P115_B004,115,107,caption,table_layout_requires_review,表2-31外圆锥面切削循环刀具轨迹对应关系,pending,,
1,DOC004_P115_B012,115,107,paragraph,inside_table_candidate|low_confidence|possible_ocr_confusion,D→A返回循环起点AGOO提示：,pending,,
1,DOC004_P117_B001,117,109,header_footer,possible_ocr_confusion|header_chapter_number_missing,第章车削加工编程| 109,pending,,
1,DOC004_P118_B003,118,110,caption,table_layout_requires_review,表2-32,pending,,
1,DOC004_P118_B021,118,110,caption,table_layout_requires_review,表2-33总加工余量、各层背吃刀量及主要加工尺寸,pending,,
1,DOC004_P118_B030,118,110,paragraph,low_confidence|possible_ocr_confusion,编制加工程序如下GOO,pending,,
1,DOC004_P118_B039,118,110,paragraph,low_confidence|possible_ocr_confusion,（精加工）GOO,pending,,
1,DOC004_P119_B001,119,111,header_footer,possible_ocr_confusion|header_chapter_number_missing,第章车削加工编程111,pending,,
1,DOC004_P119_B012,119,111,caption,table_layout_requires_review,表2-34粗、精加工总加工余量、各层背吃刀量及主要加工尺寸,pending,,
1,DOC004_P120_B009,120,112,paragraph,low_confidence|possible_ocr_confusion,GOO x_Z_,pending,,
1,DOC004_P121_B003,121,113,paragraph,low_confidence|possible_ocr_confusion,GOOX_Z_,pending,,
1,DOC004_P121_B007,121,113,paragraph,low_confidence|possible_ocr_confusion,GOOX_Z_（进刀至循环起点）,pending,,
1,DOC004_P121_B011,121,113,paragraph,low_confidence|possible_ocr_confusion,（粗车循环参数设置）（精加工部分程序段，即由循环起点进刀至精加工切削起点，再加工至精加工切削终点部分程序。该部分程序被粗、精加工循环引用）GOOX_Z_（进刀至循环起点，本程序段可以省略，因为G71粗加工循环后刀具自动返回循环起点）,pending,,
1,DOC004_P123_B001,123,115,header_footer,possible_ocr_confusion|header_chapter_number_missing,第章车削加工编程115,pending,,
1,DOC004_P123_B024,123,115,paragraph,low_confidence|possible_ocr_confusion,GOO X_Z_,pending,,
1,DOC004_P125_B001,125,117,header_footer,possible_ocr_confusion|header_chapter_number_missing,第章车削加工编程117,pending,,
1,DOC004_P125_B004,125,117,paragraph,possible_ocr_confusion,（精车终止程序段）GOOX60.0Z2.0（进刀到循环起点）,pending,,
1,DOC004_P126_B005,126,118,paragraph,low_confidence|possible_ocr_confusion,GOOX_Z,pending,,
1,DOC004_P127_B001,127,119,header_footer,possible_ocr_confusion|header_chapter_number_missing,第章车削加工编程119,pending,,
1,DOC004_P145_B001,145,137,header_footer,possible_ocr_confusion|header_chapter_number_missing,第章铣削加工编程137,pending,,
1,DOC004_P145_B004,145,137,paragraph,possible_ocr_confusion,Z轴移动指令与平选择关，如“G17 Z”，Z轴不存在XOY平面上，但这条指令可使机床在Z轴向上产移动。,pending,,
1,DOC004_P146_B022,146,138,paragraph,possible_ocr_confusion,使用G41/G42进刀，当刀具接近工件轮廓时，数控装置认为是从刀具中坐标转变为刀具外圆与轮廓相切点的坐标值，而使用G40刀具退出时则相反。如图3-4所示，实线表示编程轨迹，点划线表示刀具中心轨迹，刀具与工件发生干涉。为防止刀具与工件发生干涉，如图3-5所示，一般应在切工件之前建刀具半径补偿，在切出工件之后取消刀具半径补偿，并选择正确的进刀和退刀路线。,pending,,
1,DOC004_P147_B001,147,139,header_footer,possible_ocr_confusion,第③章铣削加工编程 139,pending,,
1,DOC004_P149_B001,149,141,header_footer,possible_ocr_confusion,第③章铣削加工编程141,pending,,
